POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester
11106107246,221201,,,,0,28,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
11106107246,231101,,,,0,34,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
12106107204,51301,,,,0,43,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3
12106107205,31201,,,,0,46,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
12106107205,41301,,,,0,25,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3
12106107205,221201,,,,0,37,"MAY, 2016","B.TECH. 2ND SEMESTER EXAMINATION, 2016",107,106,2
12106107950,211303,,,,0,57,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3
12106107951,31201,,,,0,45,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
12106107951,211101,,,,0,29,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107208,11101,,,,0,50,"JAN, 2016","B.TECH. 1ST SEMESTER EXAMINATION, 2015",107,106,1
13106107208,211101,,,,0,37,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107208,221201,,,,0,36,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
13106107208,231101,,,,0,29,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107211,11101,,,,0,21,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107217,61201,,,,0,38,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
13106107217,231101,,,,0,34,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107236,11101,,,,0,26,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
13106107236,31201,,,,0,41,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
13106107236,41301,,,,0,31,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3
13106107236,51301,,,,0,39,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3
13106107236,61201,,,,0,25,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2
13106107236,231101,,,,0,32,"JAN, 2016","B.TECH. 1ST SEMESTER EXAMINATION, 2015",107,106,1
13106107238,11101,,,,0,21,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1
