POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester
13106107208,011101,,,,0,50,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
13106107236,231101,,,,0,32,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,011101,3,2,11,16,62,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,011101P,4,4,7,15,28,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,011102,5,5,16,26,49,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,011102P,5,5,8,18,28,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,021101,4,4,13,21,37,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,021101P,4,4,8,16,26,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,021103P,7,8,16,31,55,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,106,1
14106107191,021202,4,4,13,21,46.00,"MAY,2016","B.TECH 2ND SEMESTER EXAMINATION, 2016",107,106,2
14106107191,021202P,4,4,8,16,28.00,"MAY,2016","B.TECH 2ND SEMESTER EXAMINATION, 2016",107,106,2
14106107191,031201,3,5,18,26,31.00,"MAY,2016","B.TECH 2ND SEMESTER EXAMINATION, 2016",107,106,2
14106107191,031201P,3,4,9,16,26.00,"MAY,2016","B.TECH 2ND SEMESTER EXAMINATION, 2016",107,106,2
14106107191,031411,5,5,17,27,47.00,"JULY, 2017","B.TECH. 4TH SEMESTER EXAMINATION, 2017",107,106,4
14106107191,031411P,5,5,8,18,25.00,"JULY, 2017","B.TECH. 4TH SEMESTER EXAMINATION, 2017",107,106,4
