POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester
15106107251,11101,5,5,11,21,38,2016,1stSem,107,106,1
15106107251,011101P,5,4,8,17,28,2016,1stSem,107,106,1
15106107251,11102,5,5,16,26,35,2016,1stSem,107,106,1
15106107251,21101,4,5,19,28,35,2016,1stSem,107,106,1
15106107251,021101P,4,5,9,18,29,2016,1stSem,107,106,1
15106107251,021103P,10,8,19,37,56,2016,1stSem,107,106,1
15106107251,211101,5,5,16,26,42,2016,1stSem,107,106,1
15106107251,231101,5,4,18,27,34,2016,1stSem,107,106,1
15106107251,231101P,5,5,8,18,26,2016,1stSem,107,106,1
16106107001,11101,5,5,11,21,44,2016,1stSem,107,106,1
16106107001,011101P,4,4,7,15,27,2016,1stSem,107,106,1
16106107001,11102,5,5,17,27,33,2016,1stSem,107,106,1
16106107001,21101,4,5,15,24,33,2016,1stSem,107,106,1
16106107001,021101P,4,5,8,17,28,2016,1stSem,107,106,1
16106107001,021103P,10,6,19,35,56,2016,1stSem,107,106,1
16106107001,211101,5,5,17,27,47,2016,1stSem,107,106,1
16106107001,231101,5,5,17,27,38,2016,1stSem,107,106,1
16106107001,231101P,5,5,8,18,29,2016,1stSem,107,106,1
16106107002,11101,3,2,5,10,38,2016,1stSem,107,106,1
16106107002,011101P,4,3,7,14,26,2016,1stSem,107,106,1
16106107002,11102,5,5,17,27,30,2016,1stSem,107,106,1
16106107002,21101,4,3,10,17,35,2016,1stSem,107,106,1
16106107002,021101P,4,4,8,16,27,2016,1stSem,107,106,1
16106107002,021103P,10,10,16,36,54,2016,1stSem,107,106,1
16106107002,211101,5,5,16,26,15,2016,1stSem,107,106,1
16106107002,231101,4,5,13,22,33,2016,1stSem,107,106,1
16106107002,231101P,4,5,8,17,26,2016,1stSem,107,106,1
16106107003,11101,5,5,12,22,31,2016,1stSem,107,106,1
16106107003,011101P,5,5,8,18,27,2016,1stSem,107,106,1
16106107003,11102,5,5,17,27,34,2016,1stSem,107,106,1
16106107003,21101,4,5,17,26,40,2016,1stSem,107,106,1
16106107003,021101P,4,5,9,18,28,2016,1stSem,107,106,1
16106107003,021103P,10,9,18,37,56,2016,1stSem,107,106,1
16106107003,211101,5,5,18,28,34,2016,1stSem,107,106,1
16106107003,231101,5,5,16,26,54,2016,1stSem,107,106,1
16106107003,231101P,5,5,8,18,28,2016,1stSem,107,106,1
16106107004,11101,4,5,15,24,49,2016,1stSem,107,106,1
16106107004,011101P,4,5,9,18,27,2016,1stSem,107,106,1
16106107004,11102,5,5,18,28,33,2016,1stSem,107,106,1
16106107004,21101,4,5,17,26,48,2016,1stSem,107,106,1
16106107004,021101P,4,4,9,17,28,2016,1stSem,107,106,1
16106107004,021103P,10,7,18,35,56,2016,1stSem,107,106,1
16106107004,211101,5,5,18,28,45,2016,1stSem,107,106,1
