Course Code,CO No.,Course outcomes,Pos/PSOs,CL,KC,Classroom session,,,,,,,,,,,,,,,,,
61603,CO1,To understand the basic concepts and functions of Operating Systems,"PO1,PSO1",U,C,4,,,,,,,,,,,,,,,,,
61603,CO2,To analyze the various process scheduling algorithms,"PO1,PO2,PSO1",An,"C, P",10,,,,,,,,,,,,,,,,,
61603,CO3,To create better communication mechanism using Synchronization and Inter Process Communication Mechanism,"PO1,PO2,PO3,PO5,PSO1",C,P,5,,,,,,,,,,,,,,,,,
61603,CO4,To explain deadlocks management,"PO1,PO2,PSO1",U,C,5,,,,,,,,,,,,,,,,,
61603,CO5,To evaluate various memory management schemes,"PO1,PO2,PO4,PSO1",E,"C, P",8,,,,,,,,,,,,,,,,,
61603,CO6,To understand I/O management and file systems,"PO1,PO2,PSO1",U,P,6,,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,,
PO/PSO,COs,Total Session,%Session,Mapping Strength,,,,,,,,,,,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,,,,,,,,,,,,,,,,,,,
PO2,"CO2,CO3,CO4,CO5,CO6",34,90,3,,,,,,,,,,,,,,,,,,,
PO3,CO3,5,14,1,,,,,,,,,,,,,,,,,,,
PO4,CO5,8,22,1,,,,,,,,,,,,,,,,,,,
PO5,CO3,5,14,1,,,,,,,,,,,,,,,,,,,
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,,,,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,,
CO/PO/PSO,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3,,,,,,,,
CO1,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,
CO2,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,
CO3,3,3,1,-,1,-,-,-,-,-,-,-,3,-,-,,,,,,,,
CO4,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,
CO5,3,3,-,1,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,
CO6,3,3,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,
AVG,3,3,1,1,1,-,-,-,-,-,-,-,3,-,-,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,,
CO,Q. No.,Max Marks,Average Marks,% Marks,Assessment Average,Attendance Average,% Assessment & Attendance,University Average,Direct Assessment,Indirect Assessment,Total Attainment,,,,,,,,,,,,
CO1,1,4,3.63,72.6,4.57,5,95.7,42.93,54.14,84,57.13,,,,,,,,,,,,
CO2,4,4,3.6,72,4.57,5,95.7,42.93,54.02,84,57.02,,,,,,,,,,,,
CO3,2,4,3.37,67.4,4.57,5,95.7,42.93,53.1,84,56.19,,,,,,,,,,,,
CO4,5,4,3.5,70,4.57,5,95.7,42.93,53.62,84,56.66,,,,,,,,,,,,
CO5,3,4,3.5,70,4.57,5,95.7,42.93,53.62,84,56.66,,,,,,,,,,,,
CO6,-,-,-,-,4.57,5,95.7,42.93,58.76,84,61.28,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,,
PO/PSO,COs,Total Session,% Session,Mapping Strength,Average of Relevant COs,PO/PSO Attainment,,,,,,,,,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,57.49,57.49,,,,,,,,,,,,,,,,,
PO2,"CO2,CO3,CO4,CO5,CO6",34,90,3,57.56,57.56,,,,,,,,,,,,,,,,,
PO3,CO3,5,14,1,56.19,18.73,,,,,,,,,,,,,,,,,
PO4,CO5,8,22,1,56.66,18.89,,,,,,,,,,,,,,,,,
PO5,CO3,5,14,1,56.19,18.73,,,,,,,,,,,,,,,,,
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",38,100,3,57.49,57.49,,,,,,,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.13,57.02,56.19,56.66,56.66,61.28,57.49,57.56,18.73,18.89,18.73,-,-,-,-,-,-,57.49,-,-
