"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107182","51718","","","4","3","4","3","4","18","27","48"
"14106107184","51718","","","3","4","3","4","4","18","26","48"
"14106107185","51718","","","3","4","3","4","4","18","27","48"
"14106107186","51718","","","4","3","4","4","4","19","28","51"
"14106107187","51718","","","3","4","4","4","3","18","27","57"
"14106107188","51718","","","4","4","4","3","4","19","28","44"
"14106107189","51718","","","4","4","4","3","4","19","28","48"
"14106107192","51718","","","4","4","4","4","3","19","28","39"
"14106107197","51718","","","4","3","3","4","4","18","27","34"
"14106107198","51718","","","3","4","4","4","4","19","28","42"
"14106107201","51718","","","3","4","4","4","4","19","28","47"
"14106107202","51718","","","3","4","3","3","4","17","25","47"
"14106107203","51718","","","4","4","3","4","4","19","28","49"
"14106107204","51718","","","4","4","4","2","4","18","26","39"
"14106107205","51718","","","3","4","4","4","4","19","28","51"
"14106107206","61722","","","4","4","4","1","3","16","24","40"
"14106107207","51718","","","4","3","3","4","4","18","26","48"
"14106107209","51718","","","4","3","3","4","4","18","27","43"
"14106107211","51718","","","3","4","4","3","4","18","26","30"
"14106107263","51718","","","4","3","4","4","4","19","28","44"
"14106107264","51718","","","4","3","4","4","4","19","28","44"
"14106107265","51718","","","3","4","4","4","4","19","28","43"
"14106107266","51718","","","2","4","4","4","4","18","27","42"
"14106107267","51718","","","4","4","3","3","4","18","27","38"
"14106107268","51718","","","4","3","4","3","4","18","27","38"
"14106107269","51718","","","4","2","4","4","4","18","27","39"
"14106107270","51718","","","4","3","3","4","4","18","27","50"
"14106107316","51718","","","4","3","3","4","4","18","27","49"
"14106107317","51718","","","4","4","3","4","3","18","27","47"
"14106107318","51718","","","4","3","4","4","4","19","28","43"
