"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107182","61722","","","3","1","4","4","4","16","24","41"
"14106107184","61722","","","3","4","2","2","4","15","23","36"
"14106107185","61722","","","3","4","4","3","4","18","26","35"
"14106107186","61722","","","4","4","2","4","4","18","26","35"
"14106107187","61722","","","4","4","3","3","4","18","26","46"
"14106107188","61722","","","3","4","3","4","4","18","26","38"
"14106107189","61722","","","4","4","2","4","4","18","26","40"
"14106107192","61722","","","2","4","4","3","4","17","25","39"
"14106107197","61722","","","4","4","4","4","3","19","19","33"
"14106107198","61722","","","3","3","3","4","4","17","25","41"
"14106107201","61722","","","4","4","3","4","3","18","27","39"
"14106107202","61722","","","4","4","4","4","4","20","20","38"
"14106107203","61722","","","3","4","4","3","4","18","27","43"
"14106107204","61722","","","2","1","3","4","3","13","21","38"
"14106107205","61722","","","4","4","4","1","3","16","24","38"
"14106107206","61707","","","4","4","4","3","3","18","26","44"
"14106107207","61722","","","4","4","4","4","4","20","20","42"
"14106107209","61722","","","4","4","3","2","2","15","23","40"
"14106107211","61722","","","4","4","3","2","4","17","25","30"
"14106107263","61722","","","1","4","4","4","4","17","25","36"
"14106107264","61722","","","2","4","4","3","3","16","24","36"
"14106107265","61722","","","4","4","4","4","1","17","25","35"
"14106107266","61722","","","2","4","4","3","2","15","23","36"
"14106107267","61722","","","3","4","2","4","3","16","24","38"
"14106107268","61722","","","2","4","2","4","2","14","22","38"
"14106107269","61722","","","4","4","4","1","4","17","25","35"
"14106107270","61722","","","4","3","1","4","3","15","23","36"
"14106107316","61722","","","3","4","4","4","4","19","28","37"
"14106107317","61722","","","4","1","4","4","4","17","25","33"
"14106107318","61722","","","4","4","3","4","4","19","28","35"
