11101,ENGINEERING MECHANICS
11102,ENVIRONMENTAL SCIENCE
21101,ELEMENTS OF MECHANICAL ENGINEERING
21202,ENGINEERING GRAPHICS
31201,BASIC ELECTRICAL ENGINEERING
31411,MICROPROCESSOR AND ITS APPLICATIONS
41301,BASIC ELECTRONICS
41302,DIGITAL ELECTRONICS
41404,ANALOG ELECTRONICS
41503,INTRODUCTION TO COMMUNICATION SYSTEMS
51301,OBJECT ORIENTED PROGRAMMING
51402,COMPUTE ARCHITECTURE
51403,DATA STRUCTURES
51409,DATABASE SYSTEMS
51505,SYSTEMS PROGRAMMING
51511,FORMAL LANGUAGES & AUTOMATA THEORY
51513,COMPUTER NETWORKS
51516,COMPILER DESIGN
51606,DESIGN & ANALYSIS OF ALGORITHMS
51614,SOFTWARE ENGINEERING
51617,ARTIFICIAL INTELLIGENCE
51718,CRYPTOGRAPHY
61201,FUNDAMENTAL OF INFORMATION TECHNOLOGY
61502,WEB TECHNOLOGY
61603,OPERATING SYSTEMS
61604,VISUAL PROGRAMMING
61606,DATA MINING & WAREHOUSING
61705,INFORMATION SECURITY
61707,DISTRIBUTED COMPUTING AND ITS APPLICATION
61711,WIRELESS AND MOBILE COMMUNICATION
61722,Management of Information System
61808,INTRUSION DETECTION
61809,XML WEB SERVICES
61810,MULTIMEDIA TECHNOLOGY AND APPLICATION
61814,NETWORK SECURITY
61818,E – COMMERCE & ERP
211101,MATHEMATICS – I
211202,MATHEMATICS-II
211303,MATHEMATICS – III
211405,DISCRETE MATHEMATICAL STRUCTURE
221201,PHYSICS
231101,ENGINEERING CHEMISTRY
241205,COMMUNICATIVE ENGLISH
241301,ORGANIZATIONAL BEHAVIOR AND INDUSTRIAL PSYCHOLOGY
241306,INDUSTRIAL ECONOMICS AND ACCOUNTANCY
241702,PERSONNEL MANAGEMENT AND INDUSTRIAL RELATION
011101P,ENGINEERING MECHANICS
021101P,ELEMENTS OF MECHANICAL ENGINEERING
021103P,WORKSHOP
021202P,ENGINEERING GRAPHICS
031201P,BASIC ELECTRICAL ENGINEERING
031411P,MICROPROCESSOR AND ITS APPLICATIONS
041301P,BASIC ELECTRONICS
041302P,DIGITAL ELECTRONICS
041404P,ANALOG ELECTRONICS
041503P,INTRODUCTION TO COMMUNICATION SYSTEMS
051301P,OBJECT ORIENTED PROGRAMMING
051403P,DATA STRUCTURES
051409P,DATABASE SYSTEMS
051505P,SYSTEMS PROGRAMMING
051516P,COMPILER DESIGN
051614P,SOFTWARE ENGINEERING
051617P,ARTIFICIAL INTELLIGENCE
061201P,FUNDAMENTAL OF INFORMATION TECHNOLOGY
061502P,WEB TECHNOLOGY
061603P,OPERATING SYSTEMS
061604P,VISUAL PROGRAMMING
061707P,DISTRIBUTED COMPUTING AND ITS APPLICATION
061724P,PROJECT – I
061726P,INDUSTRIAL TRAINING
061809P,XML WEB SERVICES
061825P,PROJECT – II
221201P,PHYSICS
231101P,ENGINEERING CHEMISTRY
