"FUNDAMENTAL OF INFORMATION TECHNOLOGY","61201","1.7","1.67","-","1.71","1.72","-","-","-","-","-","-","-","1.69","-","-"
"OBJECT ORIENTED PROGRAMMING","51301","1.78","1.78","1.18","1.78","1.79","-","-","-","-","-","-","0.63","1.78","-","-"
"DISCRETE MATHEMATICAL STRUCTURE","211405","1.79","1.77","1.8","1.8","1.8","-","-","-","-","-","-","-","-","-","-"
"DATA STRUCTURES","51403","1.62","1.63","1.07","1.6","1.59","-","-","-","-","-","-","-","1.62","-","-"
"DATABASE SYSTEMS","51409","1.5","0.99","-","-","0.49","-","-","-","-","-","-","-","-","-","1.5"
"COMPUTE ARCHITECTURE","51402","1.75","1.16","-","-","1.14","-","-","-","-","-","-","-","-","-","0.57"
"WEB TECHNOLOGY","61502","1.71","1.72","1.16","1.73","0.56","-","-","-","-","0.57","-","-","1.71","-","-"
"SYSTEMS PROGRAMMING","51505","1.53","1.05","-","-","-","-","-","-","-","-","-","-","1.53","-","-"
"FORMAL LANGUAGES & AUTOMATA THEORY","51511","1.68","1.71","1.68","-","1.11","-","-","-","-","-","-","-","1.7","-","-"
"COMPUTER NETWORKS","51513","1.58","1.58","1.59","1.6","0.54","-","-","-","-","-","-","-","-","1.58","-"
"COMPILER DESIGN","51516","1.62","1.07","1.07","-","1.64","1.64","-","-","-","-","-","-","1.62","-","-"
"VISUAL PROGRAMMING","61604","1.6","1.6","1.62","1.6","1.62","-","-","-","-","-","0.56","-","1.6","-","-"
"DATA MINING & WAREHOUSING","61606","-","1.1","1.12","1.1","1.68","-","-","-","-","-","-","-","1.67","-","-"
"DESIGN & ANALYSIS OF ALGORITHMS","51606","1.52","0.49","0.48","-","1.0","1.0","-","-","-","-","-","-","1.51","-","-"
"ARTIFICIAL INTELLIGENCE","51617","-","1.12","1.13","1.1","1.72","-","-","-","-","-","-","-","0.56","-","-"
"OPERATING SYSTEMS","61603","1.72","1.73","0.56","0.57","0.56","-","-","-","-","-","-","-","1.72","-","-"
"SOFTWARE ENGINEERING","51614","0.56","1.63","0.56","1.63","1.71","0.55","0.53","0.53","0.56","1.63","1.67","1.69","1.69","1.63","1.71"
"WIRELESS AND MOBILE COMMUNICATION","61711","1.12","1.67","1.7","1.69","1.66","-","-","-","-","-","-","-","1.69","1.67","1.7"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","1.11","1.67","1.69","1.7","1.68","-","-","-","-","-","-","-","1.69","-","-"
"CRYPTOGRAPHY","51718","1.72","0.58","1.14","0.57","1.14","1.13","0.56","1.15","1.72","1.74","0.58","1.73","1.71","1.73","-"
"INFORMATION SECURITY","61705","1.64","0.54","1.1","0.55","1.11","1.09","0.55","1.09","1.64","1.68","0.56","1.66","1.65","1.64","0.56"
"Management of Information System","61722","1.54","1.04","-","-","-","-","-","-","-","-","-","-","-","-","1.54"
"NETWORK SECURITY","61814","1.75","0.59","1.16","0.58","1.15","1.17","0.59","1.16","1.74","1.8","0.61","1.78","1.74","1.74","0.61"
"E-COMMERCE & ERP","61818","1.71","1.17","-","-","-","-","-","-","-","-","-","-","-","-","1.71"
"XML WEB SERVICES","61809","1.94","1.93","1.94","1.95","1.95","-","-","-","-","-","-","-","1.92","-","-"
"INTRUSION DETECTION","61808","1.8","1.17","-","-","-","-","-","-","-","-","-","-","-","1.8","-"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","1.68","1.15","-","-","-","-","-","-","-","-","-","-","-","-","1.68"
