Reg. No.,PaperCode,Ass,Att,IA,EA,,,,,,,,,,,,,,,,,,,
16104107001 ,061201,5,5,19,41.00   ,,,,,,,,,,,,,,,,,,,
16104107002 ,061201,5,5,19,44.00   ,,,,,,,,,,,,,,,,,,,
16104107003 ,061201,5,5,18,52.00   ,,,,,,,,,,,,,,,,,,,
16104107004 ,061201,4,5,17,49.00   ,,,,,,,,,,,,,,,,,,,
16104107005 ,061201,5,5,17,52.00   ,,,,,,,,,,,,,,,,,,,
16104107006 ,061201,5,5,10,27.00   ,,,,,,,,,,,,,,,,,,,
16104107007 ,061201,5,5,14,43.00   ,,,,,,,,,,,,,,,,,,,
16104107008 ,061201,5,5,17,38.00   ,,,,,,,,,,,,,,,,,,,
16104107009 ,061201,4,5,14,47.00   ,,,,,,,,,,,,,,,,,,,
16104107010 ,061201,5,5,17,33.00   ,,,,,,,,,,,,,,,,,,,
16104107011 ,061201,5,5,18,40.00   ,,,,,,,,,,,,,,,,,,,
16104107012 ,061201,5,5,11,37.00   ,,,,,,,,,,,,,,,,,,,
16104107013 ,061201,5,5,17,48.00   ,,,,,,,,,,,,,,,,,,,
16104107014 ,061201,4,5,12,24.00   ,,,,,,,,,,,,,,,,,,,
16104107015 ,061201,4,5,14,28.00   ,,,,,,,,,,,,,,,,,,,
16104107016 ,061201,5,5,19,34.00   ,,,,,,,,,,,,,,,,,,,
16104107017 ,061201,5,5,19,43.00   ,,,,,,,,,,,,,,,,,,,
16104107018 ,061201,4,5,17,30.00   ,,,,,,,,,,,,,,,,,,,
16104107019 ,061201,4,5,16,47.00   ,,,,,,,,,,,,,,,,,,,
16104107020 ,061201,5,5,16,22.00   ,,,,,,,,,,,,,,,,,,,
16104107021 ,061201,5,5,11,37.00   ,,,,,,,,,,,,,,,,,,,
16104107022 ,061201,5,5,19,43.00   ,,,,,,,,,,,,,,,,,,,
16104107023 ,061201,5,5,12,45.00   ,,,,,,,,,,,,,,,,,,,
16104107024 ,061201,5,5,14,36.00   ,,,,,,,,,,,,,,,,,,,
16104107025 ,061201,5,5,10,29.00   ,,,,,,,,,,,,,,,,,,,
16104107026 ,061201,4,5,15,38.00   ,,,,,,,,,,,,,,,,,,,
