Reg. No.,Paper Code,,,IA,ES
16101107034,61101,,,19,11
16101107057,61101,,,19,28
17101107001,61101,,,28,53
17101107002,61101,,,24,39
17101107003,61101,,,26,48
17101107004,61101,,,26,42
17101107005,61101,,,24,35
17101107006,61101,,,28,34
17101107007,61101,,,27,41
17101107008,61101,,,21,31
17101107009,61101,,,28,51
17101107010,61101,,,27,41
17101107011,61101,,,28,36
17101107012,61101,,,20,39
17101107013,61101,,,22,34
17101107014,61101,,,18,33
17101107015,61101,,,27,42
17101107016,61101,,,24,30
17101107017,61101,,,29,29
17101107018,61101,,,28,40
17101107019,61101,,,26,40
17101107020,61101,,,22,37
17101107021,61101,,,26,29
17101107022,61101,,,22,29
17101107023,61101,,,27,45
17101107024,61101,,,22,40
17101107025,61101,,,23,35
17101107026,61101,,,23,34
17101107027,61101,,,27,42
17101107028,61101,,,22,34
17101107029,61101,,,23,44
17101107030,61101,,,22,44
17101107031,61101,,,23,31
17101107032,61101,,,28,30
17101107033,61101,,,21,34
17101107034,61101,,,23,41
17101107035,61101,,,24,40
17101107036,61101,,,21,34
17101107037,61101,,,28,42
17101107038,61101,,,27,47
17101107039,61101,,,21,19
17101107040,61101,,,26,36
17101107041,61101,,,24,33
17101107042,61101,,,28,39
17101107043,61101,,,25,36
17101107044,61101,,,24,37
17101107045,61101,,,22,34
17101107046,61101,,,29,42
17101107047,61101,,,26,42
17101107048,61101,,,25,25
17101107049,61101,,,27,36
17101107050,241105,,,21,34
17101107051,61101,,,23,36
17101107052,61101,,,22,30
17101107053,61101,,,26,36
17101107054,61101,,,22,28
17101107056,61101,,,25,31
17101107057,61101,,,21,30
17101107058,61101,,,25,43
17101107059,61101,,,24,41
17101107060,61101,,,18,26
17101107061,61101,,,21,25
17101107062,61101,,,24,46
16103107020,61101,,,22,28
17103107001,61101,,,29,47
17103107002,61101,,,28,28
17103107003,61101,,,27,38
17103107004,61101,,,28,38
17103107005,61101,,,29,32
17103107006,61101,,,28,38
17103107007,61101,,,28,31
17103107008,61101,,,27,40
17103107009,61101,,,27,34
17103107010,61101,,,29,46
17103107011,61101,,,27,31
17103107012,61101,,,27,29
17103107013,61101,,,27,39
17103107014,61101,,,28,28
17103107015,61101,,,29,42
17103107016,61101,,,27,29
17103107017,61101,,,28,31
17103107018,61101,,,28,41
17103107019,61101,,,28,32
17103107020,61101,,,28,28
17103107021,61101,,,26,27
17103107022,61101,,,27,49
17103107023,61101,,,27,31
