Reg. No.,Paper Code,,,IA,ES
18106107003,100204,,,30,54
18106107005,100204,,,27,41
18106107011,100204,,,24,55
18106107004,100204,,,30,63
18106107009,100204,,,28,46
18106107001,100204,,,27,29
18106107013,100204,,,23,57
18106107007,100204,,,18,36
18106107006,100204,,,22,25
18106107008,100204,,,28,49
18106107002,100204,,,30,49
18106107010,100204,,,17,32
18106107012,100204,,,26,38
18106107901,100204,,,17,21
18106107015,100204,,,19,54
18106107014,100204,,,23,49
18106107016,100204,,,19,19
18106107031,100204,,,23,53
18106107033,100204,,,26,45
18106107022,100204,,,25,48
18106107023,100204,,,28,55
18106107024,100204,,,26,39
18106107020,100204,,,28,34
18106107032,100204,,,25,41
18106107030,100204,,,23,47
18106107025,100204,,,27,58
18106107029,100204,,,27,47
18106107021,100204,,,29,55
18106107027,100204,,,27,34
18106107028,100204,,,27,37
18106107017,100204,,,25,49
18106107026,100204,,,22,51
18106107034,100204,,,27,39
18106107019,100204,,,21,31
18106107018,100204,,,21,40
18101107001,100204,,,24,35
18101107002,100204,,,24,43
18101107003,100204,,,23,49
18101107004,100204,,,23,47
18101107005,100204,,,24,25
18101107006,100204,,,29,46
18101107007,100204,,,22,43
18101107008,100204,,,21,32
18101107009,100204,,,29,31
18101107010,100204,,,25,30
18101107011,100204,,,27,42
18101107012,100204,,,22,25
18101107013,100204,,,27,50
18101107014,100204,,,27,35
18101107015,100204,,,26,25
18101107016,100204,,,24,31
18101107017,100204,,,20,48
18101107018,100204,,,26,43
18101107019,100204,,,22,46
18101107020,100204,,,20,37
18101107021,100204,,,25,40
18101107023,100204,,,20,52
18101107024,100204,,,21,54
18101107025,100204,,,23,45
18101107026,100204,,,22,38
18101107027,100204,,,21,23
18101107028,100204,,,25,51
18101107029,100204,,,23,44
18101107030,100204,,,23,30
18101107031,100204,,,25,47
18101107032,100204,,,27,54
18101107033,100204,,,23,28
18101107034,100204,,,26,31
18101107035,100204,,,21,30
18101107036,100204,,,24,34
18101107037,100204,,,23,37
18101107038,100204,,,24,47
18101107039,100204,,,23,30
18101107040,100204,,,24,32
18101107041,100204,,,22,50
18101107042,100204,,,22,33
18101107043,100204,,,24,39
18101107044,100204,,,23,30
18101107045,100204,,,25,48
18101107046,100204,,,24,44
18101107047,100204,,,25,40
18101107048,100204,,,24,41
18101107049,100204,,,23,39
18101107050,100204,,,28,50
18101107051,100204,,,29,45
18101107052,100204,,,23,36
18101107053,100204,,,23,33
18101107054,100204,,,24,30
18101107055,100204,,,22,25
18101107056,100204,,,24,36
18101107057,100204,,,23,27
18101107058,100204,,,24,48
18101107059,100204,,,24,33
18107107004,100204,,,20,36
18107107008,100204,,,23,25
18107107006,100204,,,21,31
18107107003,100204,,,18,45
18107107002,100204,,,17,28
18107107009,100204,,,18,46
18107107005,100204,,,19,47
18107107007,100204,,,17,28
18102107002,100204,,,25,45
18102107001,100204,,,27,42
18102107003,100204,,,25,36
18102107004,100204,,,24,37
18102107006,100204,,,19,33
18102107005,100204,,,20,30
18102107008,100204,,,25,37
18102107007,100204,,,28,45
18102107009,100204,,,25,38
18102107056,100204,,,27,49
18102107010,100204,,,21,35
18102107012,100204,,,19,42
18102107011,100204,,,17,37
18102107013,100204,,,17,8
18102107014,100204,,,20,28
18102107015,100204,,,25,43
18102107017,100204,,,17,34
18102107016,100204,,,18,35
18102107018,100204,,,18,25
18102107054,100204,,,19,36
18102107020,100204,,,18,43
18102107022,100204,,,21,42
18102107021,100204,,,21,40
18102107023,100204,,,24,48
18102107024,100204,,,24,34
18102107026,100204,,,24,43
18102107025,100204,,,20,31
18102107028,100204,,,28,30
18102107027,100204,,,17,28
18102107029,100204,,,17,25
18102107031,100204,,,23,47
18102107030,100204,,,17,38
18102107033,100204,,,29,47
18102107032,100204,,,24,39
18102107034,100204,,,25,50
18102107035,100204,,,25,38
18102107036,100204,,,20,35
18102107037,100204,,,28,43
18102107038,100204,,,25,36
18102107019,100204,,,25,30
18102107057,100204,,,20,30
18102107039,100204,,,17,32
18102107041,100204,,,22,52
18102107040,100204,,,18,41
18102107042,100204,,,27,38
18102107043,100204,,,26,32
18102107044,100204,,,24,32
18102107045,100204,,,28,41
18102107046,100204,,,24,38
18102107047,100204,,,27,51
18102107048,100204,,,23,40
18102107049,100204,,,25,43
18102107051,100204,,,21,38
18102107050,100204,,,20,37
18102107052,100204,,,17,35
18102107053,100204,,,18,39
18102107055,100204,,,27,40
