POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester,,
11103107135,31342,,,,0,42,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,103,3,,
11103107135,41308,,,,0,30,"FEB, 2017","B.TECH. 3RD SEMESTER EXAMINATION, 2016",107,103,3,,
11103107135,211101,,,,0,59,"Jan, 2016","B.TECH. 1ST SEMESTER EXAMINATION, 2016",107,103,1,,
11103107135,221101,,,,0,26,"Jan, 2016","B.TECH. 1ST SEMESTER EXAMINATION, 2016",107,103,1,,
11104107189,11101,4,3,14,21,37,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,011101P,5,4,7,16,27,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,11102,4,5,12,21,39,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,011102P,5,5,8,18,26,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,21101,3,3,16,22,31,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,021101P,4,4,9,17,28,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,021103P,10,9,17,36,54,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,21202,4,4,17,25,51,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,021202P,5,5,7,17,27,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,31201,5,4,18,27,43,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,031201P,5,5,10,20,25,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,31342,5,2,10,17,25,"FEB, 2017","B.TECH. 3RD SEMESTER EXAMINATION, 2016",107,104,3,,
11104107189,031342P,5,4,7,16,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
11104107189,31507,4,5,19,28,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,031507P,4,4,9,17,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
11104107189,31511,4,5,15,24,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,031511P,4,5,7,16,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
11104107189,31812,4,4,12,20,41,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,031812P,4,4,9,17,AB,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,41301,4,4,18,26,38,"JAN, 2018","B.TECH. 3RD SEMESTER EXAMINATION, 2017",107,104,3,,
11104107189,041301P,5,4,9,18,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
11104107189,41308,4,5,14,23,45,"JAN, 2018","B.TECH. 3RD SEMESTER EXAMINATION, 2017",107,104,3,,
11104107189,041308P,4,4,8,16,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
11104107189,41402,4,4,20,28,26,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
