,Course Code,,,MidTerm,End Sem
14106107182,61707,,,19,28
14106107184,61707,,,19,28
14106107185,61707,,,19,29
14106107186,61707,,,19,29
14106107187,61707,,,19,29
14106107188,61707,,,19,28
14106107189,61707,,,19,28
14106107192,61707,,,19,28
14106107197,61707,,,19,27
14106107198,61707,,,19,27
14106107201,61707,,,19,28
14106107202,61707,,,19,27
14106107203,61707,,,19,28
14106107204,61707,,,19,28
14106107205,61707,,,19,29
14106107206,61707,,,19,27
14106107207,61707,,,19,27
14106107209,61707,,,19,29
14106107211,61707,,,19,27
14106107263,61707,,,19,29
14106107264,61707,,,19,27
14106107265,61707,,,19,27
14106107266,61707,,,19,28
14106107267,61707,,,19,28
14106107268,61707,,,19,27
14106107269,61707,,,19,28
14106107270,61707,,,19,27
14106107316,61707,,,19,29
14106107317,61707,,,19,28
14106107318,61707,,,19,28
