,Course Code,,,MidTerm,End Sem
14106107182,61724,,,36,52
14106107184,61724,,,36,54
14106107185,61724,,,36,52
14106107186,61724,,,36,54
14106107187,61724,,,35,56
14106107188,61724,,,36,55
14106107189,61724,,,35,56
14106107192,61724,,,36,56
14106107197,61724,,,36,52
14106107198,61724,,,36,54
14106107201,61724,,,36,52
14106107202,61724,,,36,52
14106107203,61724,,,37,56
14106107204,61724,,,36,52
14106107205,61724,,,37,53
14106107206,61724,,,37,55
14106107207,61724,,,37,56
14106107209,61724,,,36,55
14106107211,61724,,,36,52
14106107263,61724,,,37,51
14106107264,61724,,,37,54
14106107265,61724,,,37,52
14106107266,61724,,,36,54
14106107267,61724,,,36,53
14106107268,61724,,,37,55
14106107269,61724,,,37,56
14106107270,61724,,,38,52
14106107316,61724,,,38,52
14106107317,61724,,,38,56
14106107318,61724,,,38,52
