,Course Code,,,MidTerm,End Sem
14106107182,241702,,,29,45
14106107184,241702,,,27,40
14106107185,241702,,,30,30
14106107186,241702,,,28,34
14106107187,241702,,,29,40
14106107188,241702,,,29,39
14106107189,241702,,,26,41
14106107192,241702,,,30,43
14106107197,241702,,,24,33
14106107198,241702,,,28,34
14106107201,241702,,,29,39
14106107202,241702,,,28,38
14106107203,241702,,,29,39
14106107204,241702,,,28,38
14106107205,241702,,,28,34
14106107206,61711,,,24,47
14106107207,241702,,,25,33
14106107209,241702,,,29,42
14106107211,241702,,,28,25
14106107263,241702,,,28,41
14106107264,241702,,,29,35
14106107265,241702,,,27,40
14106107266,241702,,,29,37
14106107267,241702,,,26,39
14106107268,241702,,,27,39
14106107269,241702,,,29,36
14106107270,241702,,,28,33
14106107316,241702,,,30,39
14106107317,241702,,,26,41
14106107318,241702,,,30,37
