,,,,MidTerm,End Sem
14106107182,61705,,,27,53
14106107184,61705,,,25,41
14106107185,61705,,,28,36
14106107186,61705,,,27,43
14106107187,61705,,,28,49
14106107188,61705,,,29,42
14106107189,61705,,,26,45
14106107192,61705,,,25,46
14106107197,61705,,,26,37
14106107198,61705,,,25,39
14106107201,61705,,,29,43
14106107202,61705,,,25,38
14106107203,61705,,,29,50
14106107204,61705,,,25,39
14106107205,61705,,,27,48
14106107206,61705,,,28,38
14106107207,61705,,,25,31
14106107209,61705,,,28,40
14106107211,61705,,,25,31
14106107263,61705,,,25,46
14106107264,61705,,,25,36
14106107265,61705,,,28,42
14106107266,61705,,,25,43
14106107267,61705,,,25,38
14106107268,61705,,,25,37
14106107269,61705,,,25,30
14106107270,61705,,,25,32
14106107316,61705,,,26,42
14106107317,61705,,,27,37
14106107318,61705,,,30,51
