"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","241702","4","4","2","3","2","4","4","15","52"
"15106107230","241702","4","4","2","3","3","4","3","15","50"
"15106107231","241702","3","4","2","2","4","4","1","13","59"
"15106107228","241702","4","4","3","4","4","1","3","15","52"
"15106107233","241702","5","5","4","4","3","4","4","19","62"
"15106107227","241702","3","4","2","4","0","2","4","12","56"
"15106107260","241702","4","4","3","2","3","3","3","14","59"
"15106107262","241702","4","4","2","1","2","4","4","13","60"
"15106107259","241702","3","4","3","3","3","0","3","12","47"
"15106107267","241702","4","3","0","4","4","3","2","13","61"
"15106107234","241702","5","5","4","4","4","4","3","19","62"
"15106107235","241702","4","4","1","3","3","4","4","15","60"
"15106107236","241702","4","4","1","4","4","3","4","16","56"
"15106107263","241702","3","4","0","4","2","3","0","9","51"
"15106107264","241702","5","5","4","3","4","4","4","19","61"
"15106107237","241702","4","4","3","4","4","2","4","17","59"
"15106107238","241702","4","4","4","3","3","4","3","17","62"
"15106107239","241702","3","4","3","4","1","1","1","10","57"
"15106107229","241702","4","5","4","4","4","4","2","18","59"
"15106107240","241702","4","4","4","4","2","2","4","16","59"
"15106107241","241702","3","4","0","3","0","4","4","11","56"
"15106107242","241702","3","4","4","0","1","4","4","13","57"
"15106107244","241702","3","4","3","3","1","3","3","13","52"
"15106107265","241702","3","4","1","3","3","3","3","13","59"
"15106107245","241702","4","3","4","2","0","0","3","9","55"
"15106107246","241702","5","5","4","4","4","4","3","19","61"
"15106107247","241702","3","4","2","0","4","2","4","12","51"
"15106107248","241702","4","5","3","3","4","4","4","18","61"
"15106107249","241702","4","4","4","4","4","2","3","17","60"
"15106107250","241702","4","4","4","3","3","4","3","17","52"
"15106107253","241702","4","4","2","3","4","1","3","13","59"
"15106107254","241702","5","5","4","4","4","4","4","20","60"
"15106107255","241702","3","4","2","1","0","2","4","9","61"
"15106107266","241702","4","4","4","2","4","3","4","17","61"
"15106107256","241702","4","3","2","3","1","2","3","11","61"
"15106107257","241702","3","4","4","2","1","2","2","11","52"
