"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"17106107001","61201","4","4","2","4","4","3","3","16","45"
"17106107002","61201","4","4","3","4","3","4","4","18","29"
"17106107003","61201","4","5","4","4","3","4","4","19","47"
"17106107004","61201","5","4","4","4","2","4","4","18","44"
"17106107005","61201","4","5","4","3","3","4","4","18","52"
"17106107006","61201","4","4","4","3","4","4","1","16","51"
"17106107007","61201","5","4","4","4","4","3","4","19","52"
"17106107008","61201","4","5","4","2","4","4","4","18","46"
"17106107009","61201","4","4","4","4","1","4","4","17","37"
"17106107010","61201","4","4","4","2","4","4","3","17","31"
"17106107011","61201","4","4","4","3","4","3","4","18","44"
"17106107012","61201","3","4","4","2","4","3","0","13","46"
"17106107013","61201","4","4","3","4","4","2","4","17","35"
"17106107014","61201","5","4","4","3","4","4","3","18","40"
"17106107015","61201","4","4","4","1","3","3","3","14","32"
"17106107016","61201","4","4","3","4","0","4","2","13","36"
"17106107017","61201","5","4","2","4","4","4","4","18","53"
"17106107018","61201","4","5","3","4","4","3","4","18","41"
"17106107019","61201","4","3","3","4","2","1","3","13","37"
"17106107020","61201","4","4","4","1","4","4","4","17","50"
"17106107021","61201","4","4","4","2","2","3","2","13","54"
"17106107022","61201","5","4","4","4","4","3","4","19","56"
"17106107023","61201","4","5","3","4","4","4","3","18","37"
"17106107024","61201","4","4","4","4","0","4","1","13","32"
"17106107025","61201","4","4","3","3","3","4","4","17","40"
"17106107026","61201","4","4","2","4","2","4","3","15","43"
"17106107027","61201","4","4","3","1","3","2","4","13","38"
"17106107028","61201","4","4","4","3","4","1","2","14","32"
"17106107029","61201","4","3","3","2","1","2","3","11","31"
"17106107030","61201","4","3","3","1","3","3","3","13","32"
"17106107031","61201","4","4","4","1","2","3","3","13","32"
"17106107032","61201","3","4","1","3","2","0","4","10","35"
"17106107033","61201","4","4","4","3","3","0","3","13","30"
"17106107034","61201","4","4","3","4","4","3","2","16","41"
"17106107035","61201","4","3","4","0","2","4","3","13","33"
"17106107036","61201","4","3","0","3","1","3","4","11","32"
"17106107037","61201","4","4","0","4","2","4","4","14","35"
"17106107038","61201","4","3","4","3","3","2","1","13","39"
"17106107039","61201","3","4","2","3","4","1","3","13","32"
"17106107040","61201","5","4","4","4","3","4","4","19","39"
"17106107041","61201","4","4","2","3","2","3","3","13","32"
"17106107042","61201","4","4","3","3","4","4","3","17","40"
