"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"12106107205","51301","5","5","4","4","4","4","3","19","44"
"13106107208","51301","5","5","4","4","2","4","4","18","30"
"13106107210","51301","5","5","3","3","4","4","4","18","29"
"13106107211","51301","5","5","4","4","4","3","4","19","42"
"13106107212","51301","5","5","4","4","4","4","4","20","47"
"13106107213","51301","5","5","4","4","4","3","3","18","35"
"13106107214","51301","4","5","4","3","4","4","4","19","59"
"13106107215","51301","5","5","3","4","4","4","3","18","31"
"13106107216","51301","5","5","4","4","4","3","4","19","58"
"13106107217","51301","5","5","4","2","4","4","4","18","26"
"13106107218","51301","5","5","4","2","4","4","4","18","54"
"13106107219","51301","5","5","4","4","4","3","4","19","37"
"13106107220","51301","4","5","4","3","4","4","4","19","27"
"13106107221","51301","5","5","3","4","4","3","4","18","37"
"13106107222","51301","5","5","4","4","4","4","4","20","47"
"13106107223","51301","5","5","4","4","4","4","4","20","27"
"13106107224","51301","4","5","4","4","4","4","3","19","33"
"13106107225","51301","5","5","4","4","4","4","3","19","32"
"13106107226","51301","4","5","4","3","4","4","4","19","28"
"13106107227","51301","5","5","3","3","4","4","4","18","51"
"13106107228","51301","5","5","4","4","2","4","4","18","34"
"13106107229","51301","4","5","4","4","3","4","4","19","41"
"13106107230","51301","5","5","4","3","4","4","4","19","27"
"13106107231","51301","5","5","4","3","3","4","4","18","48"
"13106107232","51301","5","5","3","4","4","4","4","19","35"
"13106107233","51301","5","5","4","4","4","3","3","18","44"
"13106107234","51301","5","5","3","4","4","4","4","19","43"
"13106107235","51301","5","5","4","4","2","4","4","18","42"
"13106107236","51301","5","5","4","3","4","4","3","18","39"
"13106107237","51301","5","5","4","4","2","4","4","18","54"
"13106107238","51301","5","5","4","4","4","4","3","19","50"
"13106107344","51301","5","5","3","4","4","3","4","18","29"
"13106107345","51301","5","5","4","4","4","2","4","18","20"
"13106107346","51301","5","5","4","3","3","4","4","18","46"
"13106107347","51301","5","5","4","4","3","4","3","18","30"
"13106107348","51301","5","5","3","4","4","4","4","19","25"
"13107107240","51301","5","5","4","4","4","4","3","19","28"
