"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","51718","4","3","1","4","2","4","2","13","39"
"15106107230","51718","4","4","4","2","4","3","3","16","52"
"15106107231","51718","4","4","2","4","4","3","1","14","38"
"15106107228","51718","4","5","3","3","4","4","4","18","41"
"15106107233","51718","5","5","4","3","4","4","4","19","57"
"15106107227","51718","3","4","4","1","0","4","4","13","53"
"15106107260","51718","4","4","4","4","4","2","2","16","54"
"15106107262","51718","3","4","1","4","3","3","1","12","54"
"15106107259","51718","4","4","0","4","4","4","2","14","44"
"15106107267","51718","3","4","1","2","0","0","0","3","43"
"15106107234","51718","5","5","4","4","4","4","3","19","62"
"15106107235","51718","5","4","4","4","3","3","4","18","57"
"15106107236","51718","4","4","3","4","4","3","3","17","52"
"15106107263","51718","4","4","4","4","1","3","2","14","37"
"15106107264","51718","5","5","4","4","3","4","4","19","50"
"15106107237","51718","4","5","4","4","3","4","4","19","53"
"15106107238","51718","4","5","3","4","4","4","4","19","39"
"15106107239","51718","4","4","1","3","4","3","4","15","52"
"15106107229","51718","5","5","4","3","4","4","4","19","51"
"15106107240","51718","4","4","2","4","1","4","2","13","59"
"15106107241","51718","4","4","3","0","4","4","3","14","42"
"15106107242","51718","4","4","3","4","4","4","3","18","59"
"15106107244","51718","3","4","2","4","1","3","3","13","55"
"15106107265","51718","4","4","2","3","4","4","3","16","33"
"15106107245","51718","5","4","2","4","4","4","4","18","60"
"15106107246","51718","5","5","4","4","4","4","3","19","53"
"15106107247","51718","4","3","0","4","2","3","4","13","40"
"15106107248","51718","4","5","4","4","4","3","4","19","57"
"15106107249","51718","5","5","4","3","4","4","4","19","51"
"15106107250","51718","5","5","4","4","3","4","4","19","49"
"15106107253","51718","4","5","3","4","4","3","4","18","35"
"15106107254","51718","5","5","4","3","4","4","4","19","49"
"15106107255","51718","4","4","3","4","4","3","3","17","43"
"15106107266","51718","5","5","4","4","3","4","4","19","61"
"15106107256","51718","4","4","4","4","1","2","3","14","35"
"15106107257","51718","4","3","4","4","0","3","1","12","10"
