"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","31411","5","5","4","4","3","4","4","19","40"
"14106107183","31411","5","5","4","2","3","4","2","15","52"
"14106107184","31411","5","5","4","2","2","4","4","16","35"
"14106107185","31411","5","5","4","4","3","2","4","17","47"
"14106107186","31411","5","5","4","4","4","4","3","19","43"
"14106107187","31411","5","5","2","4","4","4","3","17","45"
"14106107188","31411","5","5","3","1","4","4","4","16","41"
"14106107189","31411","5","5","4","4","2","4","4","18","42"
"14106107192","31411","5","5","4","4","4","2","1","15","43"
"14106107197","31411","5","5","4","4","4","2","4","18","32"
"14106107198","31411","5","5","3","4","4","4","3","18","37"
"14106107201","31411","5","5","2","3","3","4","4","16","35"
"14106107202","31411","5","5","3","3","4","4","1","15","39"
"14106107203","31411","5","5","4","4","4","4","2","18","43"
"14106107204","31411","5","5","3","4","4","2","4","17","34"
"14106107205","31411","5","5","4","3","4","4","3","18","44"
"14106107206","31411","5","4","4","4","3","4","2","17","43"
"14106107207","31411","5","5","4","3","3","4","3","17","28"
"14106107209","31411","5","5","4","3","4","4","4","19","48"
"14106107211","31411","5","4","4","4","2","4","2","16","36"
"14106107263","31411","5","5","4","4","3","3","4","18","49"
"14106107264","31411","5","5","4","4","3","4","3","18","42"
"14106107265","31411","5","5","4","4","3","3","3","17","45"
"14106107266","31411","4","4","4","3","3","4","4","18","47"
"14106107267","31411","5","5","3","4","4","4","4","19","34"
"14106107268","31411","5","5","4","3","1","4","4","16","35"
"14106107269","31411","5","5","3","0","4","4","2","13","28"
"14106107317","31411","5","5","3","4","4","4","4","19","44"
"14106107270","31411","5","5","4","3","4","4","2","17","28"
"14106107316","31411","5","5","3","4","4","4","4","19","42"
"14106107318","31411","5","5","4","4","4","3","4","19","48"
