"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","051606","4","4","0","3","4","2","1","10","39.00"
"15106107227","051606","4","4","2","4","3","1","4","14","45.00"
"15106107228","051606","5","4","4","4","4","3","4","19","41.00"
"15106107229","051606","4","4","4","4","3","4","4","19","46.00"
"15106107230","051606","4","4","0","3","4","4","3","14","46.00"
"15106107231","051606","4","4","4","3","2","4","1","14","47.00"
"15106107233","051606","4","4","4","4","3","4","4","19","51.00"
"15106107234","051606","5","5","4","4","4","4","4","20","52.00"
"15106107235","051606","4","4","2","2","3","4","4","15","41.00"
"15106107236","051606","5","5","4","1","1","3","4","13","40.00"
"15106107237","051606","5","5","4","3","4","4","4","19","53.00"
"15106107238","051606","5","5","3","4","3","3","4","17","47.00"
"15106107239","051606","4","4","3","4","2","2","3","14","46.00"
"15106107240","051606","4","4","2","3","4","4","3","16","45.00"
"15106107241","051606","4","4","2","4","4","3","1","14","43.00"
"15106107242","051606","4","4","4","4","3","2","4","17","44.00"
"15106107244","051606","4","4","4","4","3","4","3","18","43.00"
"15106107245","051606","4","4","4","0","4","2","2","12","41.00"
"15106107246","051606","5","5","3","4","3","4","4","18","43.00"
"15106107247","051606","4","4","1","1","3","4","1","10","36.00"
"15106107248","051606","4","4","4","4","4","3","4","19","42.00"
"15106107249","051606","5","5","4","4","3","4","4","19","42.00"
"15106107250","051606","5","4","4","3","4","4","2","17","41.00"
"15106107253","051606","4","4","3","4","4","3","1","15","43.00"
"15106107254","051606","5","5","3","2","2","0","3","10","45.00"
"15106107255","051606","4","4","4","3","0","2","1","10","42.00"
"15106107256","051606","4","4","0","3","4","2","1","10","40.00"
"15106107257","051606","4","4","3","3","1","1","2","10","36.00"
"15106107259","051606","5","5","1","4","0","0","3","8","40.00"
"15106107260","051606","4","4","4","3","4","3","1","15","48.00"
"15106107262","051606","4","4","0","2","2","3","4","11","40.00"
"15106107263","051606","4","5","2","3","3","1","1","10","33.00"
"15106107264","051606","4","5","4","3","4","4","4","19","45.00"
"15106107265","051606","4","4","4","3","1","0","1","9","35.00"
"15106107266","051606","4","4","4","4","4","3","4","19","44.00"
"15106107267","051606","4","4","4","1","1","3","2","11","39.00"
