"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"16106107021","51617","4","4","3","3","4","1","4","15","46"
"17106107001","51617","5","4","4","3","4","4","4","19","61"
"17106107002","51617","5","4","3","3","4","4","4","18","54"
"17106107003","51617","4","5","4","4","4","3","4","19","57"
"17106107004","51617","5","4","4","4","3","4","4","19","57"
"17106107005","51617","4","5","4","4","4","4","3","19","58"
"17106107006","51617","4","4","4","4","4","3","3","18","54"
"17106107007","51617","5","4","4","3","4","4","3","18","56"
"17106107008","51617","4","5","4","3","3","4","4","18","55"
"17106107009","51617","5","4","4","3","4","4","4","19","55"
"17106107010","51617","4","4","4","4","4","4","2","18","51"
"17106107011","51617","4","4","4","3","4","4","3","18","56"
"17106107012","51617","4","4","1","4","4","3","4","16","48"
"17106107013","51617","4","4","3","4","2","4","4","17","50"
"17106107014","51617","4","4","4","4","1","3","4","16","53"
"17106107015","51617","4","4","4","4","4","4","1","17","48"
"17106107016","51617","4","4","4","4","3","4","3","18","50"
"17106107017","51617","4","4","2","4","4","4","4","18","54"
"17106107018","51617","4","4","4","4","3","3","4","18","55"
"17106107019","51617","4","4","4","4","3","3","2","16","47"
"17106107020","51617","4","5","4","3","4","4","4","19","57"
"17106107021","51617","4","4","4","3","3","4","4","18","50"
"17106107022","51617","4","4","3","3","4","4","4","18","58"
"17106107023","51617","4","5","4","3","4","4","4","19","57"
"17106107024","51617","4","4","3","3","4","4","4","18","50"
"17106107025","51617","4","5","4","3","4","4","4","19","58"
"17106107026","51617","4","4","4","2","4","3","4","17","50"
"17106107028","51617","5","4","4","4","2","4","4","18","56"
"17106107029","51617","5","4","4","4","4","3","3","18","52"
"17106107030","51617","5","4","4","3","4","4","4","19","54"
"17106107031","51617","4","4","3","3","4","3","4","17","50"
"17106107032","51617","5","4","4","3","3","4","4","18","52"
"17106107034","51617","5","4","3","4","4","4","4","19","57"
"17106107036","51617","5","4","4","4","3","4","3","18","54"
"17106107037","51617","4","4","1","3","4","4","4","16","49"
"17106107038","51617","4","4","4","4","4","0","4","16","47"
"17106107039","51617","4","4","3","3","4","4","4","18","52"
"17106107040","51617","4","5","3","4","4","4","4","19","57"
"17106107041","51617","4","5","4","4","3","4","4","19","50"
"17106107042","51617","4","5","4","3","4","4","4","19","57"
"18106107902","51617","4","5","4","4","3","4","4","19","56"
"18106107903","51617","4","5","4","4","4","3","4","19","57"
"18106107904","51617","5","4","4","4","3","3","4","18","53"
"18106107905","51617","5","4","4","4","3","4","4","19","57"
"18106107906","51617","4","5","4","3","4","4","3","18","51"
"18106107907","51617","5","4","4","4","4","4","3","19","55"
"18106107908","51617","4","5","3","3","4","4","4","18","50"
"18106107909","51617","4","5","4","4","4","3","3","18","50"
