"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"15101107017 ","061101","4","5","4","4","1","4","4","17","AB"
"15101107030 ","061101","5","5","3","2","4","2","1","12","57.00   "
"15101107048 ","061101","5","5","4","3","3","3","0","13","41.00   "
"16101107001 ","061101","5","5","3","4","3","1","4","15","42.00   "
"16101107002 ","061101","5","5","2","4","2","3","4","15","34.00   "
"16101107003 ","061101","5","5","3","3","4","2","4","16","41.00   "
"16101107004 ","061101","4","5","3","4","2","4","2","15","48.00   "
"16101107005 ","061101","4","5","4","4","4","4","1","17","14.00   "
"16101107006 ","061101","4","5","4","4","2","2","4","16","48.00   "
"16101107007 ","061101","5","5","3","4","2","1","2","12","33.00   "
"16101107008 ","061101","5","5","2","2","4","2","0","10","34.00   "
"16101107009 ","061101","5","5","4","4","3","4","2","17","38.00   "
"16101107010 ","061101","4","5","1","4","4","3","4","16","46.00   "
"16101107011 ","061101","5","5","4","3","2","2","3","14","44.00   "
"16101107012 ","061101","5","5","4","4","4","1","3","16","44.00   "
"16101107013 ","061101","5","5","4","0","4","4","4","16","32.00   "
"16101107014 ","061101","5","5","4","4","3","4","4","19","44.00   "
"16101107015 ","061101","5","5","2","2","4","4","0","12","36.00   "
"16101107016 ","061101","5","5","1","1","1","4","3","10","42.00   "
"16101107017 ","061101","5","5","4","4","3","4","4","19","46.00   "
"16101107018 ","061101","5","5","4","2","3","3","0","12","31.00   "
"16101107019 ","061101","5","5","4","4","4","4","2","18","41.00   "
"16101107020 ","061101","4","5","3","4","4","1","3","15","45.00   "
"16101107021 ","061101","5","5","4","4","4","4","3","19","53.00   "
"16101107022 ","061101","4","5","1","4","2","4","4","15","53.00   "
"16101107023 ","061101","4","5","3","3","3","4","1","14","41.00   "
"16101107024 ","061101","4","5","4","4","4","0","1","13","35.00   "
"16101107025 ","061101","5","5","3","4","4","2","4","17","39.00   "
"16101107026 ","061101","5","5","3","4","2","4","1","14","40.00   "
"16101107027 ","061101","4","5","2","3","4","1","3","13","47.00   "
"16101107028 ","061101","4","5","1","4","4","4","4","17","45.00   "
"16101107029 ","061101","5","5","3","4","3","2","3","15","40.00   "
"16101107030 ","061101","5","5","3","0","1","2","4","10","34.00   "
"16101107031 ","061101","5","5","4","3","4","2","2","15","49.00   "
"16101107032 ","061101","5","5","3","3","4","4","3","17","41.00   "
"16101107033 ","061101","4","5","0","2","3","4","4","13","30.00   "
"16101107034 ","061101","5","5","0","3","4","0","3","10","25.00   "
"16101107035 ","061101","5","5","4","2","2","4","4","16","35.00   "
"16101107036 ","061101","4","5","0","4","4","3","3","14","47.00   "
"16101107037 ","061101","5","5","4","0","4","4","4","16","46.00   "
"16101107038 ","061101","5","5","2","4","4","1","4","15","43.00   "
"16101107039 ","061101","5","5","0","4","4","3","4","15","44.00   "
"16101107040 ","061101","5","5","3","2","1","1","2","9","29.00   "
"16101107041 ","061101","5","5","4","2","2","2","1","11","33.00   "
"16101107042 ","061101","0","0","0","0","0","0","0","0","30.00   "
"16101107043 ","061101","5","5","4","4","3","0","4","15","43.00   "
"16101107044 ","061101","5","5","0","3","3","2","3","11","28.00   "
"16101107045 ","061101","5","5","4","3","2","3","4","16","36.00   "
"16101107046 ","061101","5","5","4","3","3","4","2","16","40.00   "
"16101107047 ","061101","4","5","3","3","3","4","4","17","42.00   "
"16101107048 ","061101","5","5","3","0","1","2","4","10","35.00   "
"16101107049 ","061101","5","5","3","3","4","4","4","18","42.00   "
"16101107050 ","061101","5","5","0","4","3","1","3","11","43.00   "
"16101107051 ","061101","5","5","2","4","2","4","1","13","27.00   "
"16101107052 ","061101","5","5","3","4","2","1","3","13","39.00   "
"16101107053 ","061101","5","5","4","3","4","2","4","17","32.00   "
"16101107054 ","061101","0","0","0","0","0","0","0","0","48.00   "
"16101107055 ","061101","4","5","4","0","3","1","4","12","43.00   "
"16101107056 ","061101","5","5","2","2","4","4","4","16","41.00   "
"16101107058 ","061101","5","5","0","4","4","4","3","15","45.00   "
"16101107059 ","061101","4","5","2","4","4","4","1","15","47.00   "
"16101107060 ","061101","5","5","0","3","0","2","3","8","30.00   "
"16101107061 ","061101","4","5","4","1","4","1","4","14","33.00   "
"16102107001 ","061101","5","5","4","1","4","2","2","13","45.00   "
"16102107002 ","061101","5","5","3","0","3","2","1","9","51.00   "
"16102107003 ","061101","5","5","4","4","3","3","4","18","51.00   "
"16102107004 ","061101","5","5","0","2","3","0","1","6","44.00   "
"16102107005 ","061101","5","5","4","4","0","4","0","12","51.00   "
"16102107006 ","061101","5","5","3","2","4","2","0","11","47.00   "
"16102107007 ","061101","5","5","4","4","4","4","3","19","56.00   "
"16102107008 ","061101","4","5","2","4","3","4","1","14","34.00   "
"16102107009 ","061101","5","5","2","3","4","2","3","14","44.00   "
"16102107010 ","061101","5","5","0","2","2","3","0","7","46.00   "
"16102107011 ","061101","5","5","3","1","4","2","3","13","35.00   "
"16102107012 ","061101","5","5","4","4","3","4","2","17","45.00   "
"16102107013 ","061101","5","5","3","3","4","3","1","14","46.00   "
"16102107014 ","061101","5","5","2","3","1","1","4","11","46.00   "
"16102107015 ","061101","5","5","4","4","4","2","4","18","45.00   "
"16102107016 ","061101","5","5","3","4","3","3","2","15","40.00   "
"16102107017 ","061101","5","5","4","4","3","3","4","18","49.00   "
"16102107018 ","061101","5","5","4","4","3","2","3","16","44.00   "
"16102107019 ","061101","4","5","4","4","1","4","1","14","46.00   "
"16102107020 ","061101","5","5","1","3","4","4","3","15","42.00   "
