"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"15106107227","51513","4","4","4","3","4","2","2","15","44"
"15106107228","51513","4","4","3","4","2","4","4","17","42"
"15106107229","51513","5","5","4","3","4","4","4","19","44"
"15106107230","51513","4","3","3","2","0","3","4","12","49"
"15106107231","51513","4","3","3","2","4","1","0","10","36"
"15106107233","51513","5","4","4","4","3","4","4","19","47"
"15106107234","51513","5","5","4","4","4","4","4","20","57"
"15106107235","51513","4","4","4","3","3","0","4","14","47"
"15106107236","51513","4","4","2","3","2","4","2","13","50"
"15106107237","51513","4","4","3","4","4","1","4","16","55"
"15106107238","51513","5","4","3","4","4","4","4","19","49"
"15106107239","51513","4","4","3","2","3","3","2","13","50"
"15106107240","51513","4","4","3","1","4","3","3","14","54"
"15106107241","51513","4","4","3","3","4","2","3","15","48"
"15106107242","51513","4","4","3","4","3","4","3","17","49"
"15106107244","51513","4","4","4","3","2","4","4","17","43"
"15106107245","51513","4","4","3","4","4","4","3","18","50"
"15106107246","51513","5","4","4","4","4","4","3","19","48"
"15106107247","51513","4","3","4","1","3","1","3","12","40"
"15106107248","51513","4","4","4","4","4","4","1","17","44"
"15106107249","51513","5","4","4","4","3","4","4","19","48"
"15106107250","51513","4","4","4","4","2","3","3","16","45"
"15106107253","51513","5","4","4","3","4","4","3","18","49"
"15106107254","51513","4","4","3","4","3","0","4","14","49"
"15106107255","51513","3","4","3","1","1","3","2","10","46"
"15106107256","51513","3","4","0","3","4","3","0","10","47"
"15106107257","51513","3","4","3","1","0","0","2","6","38"
"15106107259","51513","4","3","4","1","0","2","2","9","43"
"15106107260","51513","4","3","4","4","2","3","0","13","50"
"15106107262","51513","4","4","4","4","4","1","3","16","46"
"15106107263","51513","4","4","3","2","2","3","3","13","28"
"15106107264","51513","4","5","4","2","4","4","4","18","51"
"15106107265","51513","4","3","4","3","3","0","1","11","43"
"15106107266","51513","4","4","4","4","4","3","3","18","49"
"15106107267","51513","4","3","3","1","0","1","4","9","43"
