Reg No,Course Code,Ass,Att,Q1,Q2,Q3,Q4,Q5,Internal Marks,End Sem
14106107191,61707,4,4,4,4,4,4,2,18,18
15106107230,61707,4,5,4,3,4,4,4,19,25
15106107231,61707,5,4,3,3,4,4,4,18,18
15106107228,61707,5,4,4,4,3,4,4,19,20
15106107233,61707,5,5,3,4,4,4,4,19,47
15106107227,61707,4,4,4,3,2,3,3,15,32
15106107260,61707,4,4,4,3,4,4,2,17,36
15106107262,61707,4,4,3,2,2,4,4,15,20
15106107259,61707,4,4,4,4,2,4,3,17,27
15106107267,61707,4,4,3,3,4,4,1,15,33
15106107234,61707,5,4,4,4,4,4,3,19,44
15106107235,61707,4,4,1,4,4,4,3,16,30
15106107236,61707,4,4,3,4,4,3,4,18,36
15106107263,61707,4,4,3,4,4,2,3,16,14
15106107264,61707,5,5,4,4,4,3,4,19,47
15106107237,61707,4,4,4,4,4,4,2,18,43
15106107238,61707,5,4,4,4,4,4,3,19,47
15106107239,61707,4,4,2,3,4,2,4,15,24
15106107229,61707,5,4,4,4,3,4,3,18,40
15106107240,61707,4,4,3,4,4,3,4,18,36
15106107241,61707,4,4,3,3,2,4,4,16,18
15106107242,61707,4,4,3,4,3,4,3,17,29
15106107244,61707,4,4,4,1,4,2,4,15,27
15106107265,61707,4,5,4,3,4,4,3,18,31
15106107245,61707,5,5,4,4,4,4,4,20,36
15106107246,61707,4,5,4,4,4,2,4,18,39
15106107247,61707,4,4,3,2,2,4,4,15,25
15106107248,61707,5,4,4,4,4,4,3,19,47
15106107249,61707,5,5,4,3,4,4,4,19,45
15106107250,61707,5,4,3,4,4,3,4,18,33
15106107253,61707,4,4,3,3,4,4,3,17,38
15106107254,61707,5,4,3,4,3,4,4,18,45
15106107255,61707,4,4,2,4,3,3,4,16,27
15106107266,61707,4,5,4,4,4,4,3,19,44
15106107256,61707,4,4,4,3,2,4,3,16,35
15106107257,61707,4,4,4,3,4,4,2,17,19
