"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","51403","4","5","3","4","3","4","4","18","41"
"14106107183","51403","5","5","3","4","2","4","3","16","45"
"14106107184","51403","5","5","3","4","4","3","2","16","35"
"14106107185","51403","5","5","4","4","4","4","2","18","44"
"14106107186","51403","5","5","3","4","4","3","4","18","44"
"14106107187","51403","5","5","4","4","3","3","4","18","39"
"14106107188","51403","5","5","4","2","4","4","4","18","34"
"14106107189","51403","5","5","4","4","3","3","4","18","38"
"14106107192","51403","4","5","4","3","3","4","2","16","40"
"14106107197","51403","4","5","4","3","3","4","4","18","30"
"14106107198","51403","5","5","4","4","4","4","1","17","25"
"14106107201","51403","5","5","4","4","1","4","4","17","44"
"14106107202","51403","5","5","3","4","4","4","3","18","41"
"14106107203","51403","5","5","4","3","4","4","3","18","42"
"14106107204","51403","5","5","3","2","4","4","4","17","27"
"14106107205","51403","4","5","4","4","2","4","4","18","38"
"14106107206","51403","4","5","4","3","3","4","4","18","32"
"14106107207","51403","4","5","2","4","4","3","4","17","25"
"14106107209","51403","5","5","4","4","4","3","4","19","51"
"14106107211","51403","5","5","2","4","3","3","4","16","29"
"14106107263","51403","5","5","4","4","4","4","2","18","47"
"14106107264","51403","4","5","3","4","3","4","4","18","33"
"14106107265","51403","5","5","3","3","4","4","4","18","37"
"14106107266","51403","5","5","3","3","4","4","4","18","41"
"14106107267","51403","5","5","4","2","4","3","4","17","33"
"14106107268","51403","5","5","3","4","2","4","4","17","31"
"14106107317","51403","4","5","2","4","3","4","4","17","40"
"14106107270","51403","4","5","4","3","4","1","4","16","30"
"14106107316","51403","5","5","4","4","3","3","4","18","41"
"14106107318","51403","4","5","3","4","3","4","4","18","46"
