"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"15106107243","51401","5","5","3","2","4","4","1","14","32"
"15107107268","51401","4","5","3","4","4","3","4","18","27"
"15107107269","51401","5","5","2","4","4","3","4","17","30"
"15107107270","51401","5","5","4","0","4","2","4","14","28"
"15107107271","51401","5","5","0","3","4","4","3","14","38"
"15107107272","51401","5","5","2","3","4","4","2","15","37"
"15107107273","51401","5","5","3","2","3","3","4","15","44"
"15107107274","51401","5","5","4","1","3","4","2","14","26"
"15107107275","51401","5","5","3","3","3","2","4","15","30"
"15107107276","51401","4","5","4","4","4","4","4","20","41"
"15107107279","51401","5","5","4","3","2","4","3","16","33"
