"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14101107019","51401","4","5","4","4","2","4","4","18","40"
"15101107001","51401","4","5","0","0","4","1","4","9","31"
"15101107002","51401","4","5","4","3","3","1","0","11","26"
"15101107003","51401","4","5","3","2","1","4","2","12","31"
"15101107004","51401","4","5","1","3","2","0","4","10","36"
"15101107005","51401","4","5","4","1","1","4","1","11","35"
"15101107006","51401","4","5","2","4","4","4","3","17","50"
"15101107007","51401","4","5","3","4","0","2","4","13","36"
"15101107008","51401","4","5","1","0","3","0","4","8","29"
"15101107009","51401","4","5","1","3","4","3","0","11","26"
"15101107010","51401","4","5","0","1","4","1","3","9","34"
"15101107011","51401","4","5","4","2","1","4","3","14","33"
"15101107012","51401","4","5","2","2","4","1","3","12","35"
"15101107013","51401","4","5","3","3","1","3","4","14","33"
"15101107014","51401","4","5","4","1","0","3","3","11","27"
"15101107015","51401","4","5","3","3","4","0","1","11","32"
"15101107016","51401","4","5","3","2","4","4","1","14","34"
"15101107018","51401","4","5","1","3","0","0","4","8","31"
"15101107019","51401","4","5","4","0","3","4","4","15","32"
"15101107020","51401","4","5","3","1","0","0","2","6","31"
"15101107021","51401","4","5","0","0","1","2","3","6","35"
"15101107022","51401","4","5","4","3","3","3","3","16","31"
"15101107023","51401","4","5","2","4","3","3","0","12","32"
"15101107024","51401","4","5","4","1","2","4","2","13","29"
"15101107025","51401","4","5","2","2","2","1","0","7","27"
"15101107026","51401","4","5","3","4","4","4","3","18","37"
"15101107027","51401","4","5","2","4","0","1","1","8","36"
"15101107028","51401","4","5","2","4","4","4","1","15","42"
"15101107029","51401","4","5","4","4","2","3","3","16","30"
"15101107031","51401","4","5","2","1","4","3","3","13","34"
"15101107032","51401","4","5","0","1","1","0","4","6","26"
"15101107033","51401","4","5","3","0","1","3","1","8","27"
"15101107034","51401","4","5","3","4","4","1","1","13","26"
"15101107035","51401","4","5","4","2","1","4","2","13","27"
"15101107036","51401","4","5","4","3","1","2","3","13","31"
"15101107037","51401","4","5","3","0","4","4","1","12","37"
"15101107038","51401","4","5","0","2","1","2","1","6","26"
"15101107040","51401","4","5","0","2","4","4","2","12","29"
"15101107041","51401","4","5","3","1","1","4","1","10","26"
"15101107042","51401","4","5","1","1","0","4","0","6","26"
"15101107043","51401","4","5","1","3","1","2","2","9","36"
"15101107044","51401","4","5","3","1","4","1","0","9","25"
"15101107045","51401","4","5","1","3","0","3","2","9","35"
"15101107046","51401","4","5","4","1","2","0","1","8","46"
"15101107047","51401","4","5","4","3","2","1","0","10","42"
"15101107049","51401","4","5","1","1","0","4","4","10","29"
"15101107050","51401","4","5","3","4","0","3","0","10","43"
"15101107051","51401","4","5","1","2","0","2","2","7","26"
"15101107052","51401","4","5","0","2","3","1","3","9","31"
"15101107053","51401","4","5","4","2","3","4","3","16","42"
"15101107054","51401","4","5","3","4","4","2","3","16","40"
"15101107056","51401","4","5","0","4","2","1","4","11","47"
"15101107057","51401","4","5","4","4","0","0","3","11","38"
"15101107058","51401","4","5","3","0","0","2","2","7","26"
"15101107059","51401","4","5","2","1","1","1","3","8","32"
"15101107060","51401","4","5","1","1","2","2","2","8","12"
"15101107061","51401","4","5","3","3","4","4","1","15","50"
"15101107062","51401","4","5","1","4","1","3","0","9","26"
"15101107063","51401","4","5","2","4","0","3","3","12","37"
"15101107064","51401","4","5","4","1","4","2","4","15","42"
"15104107211","51401","4","5","2","1","2","4","3","12","34"
"16101107902","51401","4","5","3","2","3","0","2","10","41"
"16101107903","51401","4","5","3","0","4","2","4","13","34"
"16101107904","51401","4","5","0","4","3","3","0","10","29"
"16101107905","51401","4","5","4","1","0","0","1","6","32"
"16101107906","51401","4","5","2","2","4","4","1","13","27"
"16101107908","51401","4","5","4","0","0","4","1","9","27"
"16101107909","51401","4","5","3","4","0","3","2","12","26"
