"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"15106107227","51516","3","4","4","2","3","1","2","12","43"
"15106107228","51516","4","5","4","4","4","2","4","18","42"
"15106107229","51516","4","4","2","4","4","4","4","18","50"
"15106107230","51516","4","4","4","3","3","3","4","17","53"
"15106107231","51516","4","4","4","4","4","2","4","18","41"
"15106107233","51516","5","5","4","3","4","4","4","19","57"
"15106107234","51516","5","5","4","4","4","4","4","20","55"
"15106107235","51516","4","4","2","4","4","3","3","16","47"
"15106107236","51516","5","5","4","4","4","4","4","20","48"
"15106107237","51516","5","5","4","4","4","3","4","19","46"
"15106107238","51516","5","5","4","4","4","4","4","20","51"
"15106107239","51516","4","4","4","2","1","4","4","15","45"
"15106107240","51516","4","3","2","2","4","4","1","13","39"
"15106107241","51516","4","4","2","3","2","4","3","14","46"
"15106107242","51516","5","4","4","3","4","4","4","19","42"
"15106107244","51516","4","4","0","3","4","4","4","15","31"
"15106107245","51516","4","5","4","4","4","4","3","19","40"
"15106107246","51516","5","5","4","4","4","4","3","19","45"
"15106107247","51516","4","4","2","4","3","3","3","15","43"
"15106107248","51516","5","5","4","4","4","4","4","20","42"
"15106107249","51516","4","4","3","3","4","4","3","17","52"
"15106107250","51516","4","5","4","4","3","4","4","19","52"
"15106107253","51516","5","4","4","4","4","4","3","19","53"
"15106107254","51516","5","5","4","4","4","4","4","20","52"
"15106107255","51516","4","4","4","3","1","3","4","15","41"
"15106107256","51516","4","4","2","2","4","2","4","14","48"
"15106107257","51516","4","4","1","3","4","1","4","13","39"
"15106107259","51516","3","4","1","0","1","4","3","9","46"
"15106107260","51516","3","4","4","1","4","0","2","11","47"
"15106107262","51516","4","4","1","2","4","4","3","14","37"
"15106107263","51516","4","5","4","3","3","4","4","18","40"
"15106107264","51516","5","5","4","4","4","4","4","20","47"
"15106107265","51516","4","3","1","2","4","1","4","12","32"
"15106107266","51516","5","5","4","4","4","4","3","19","49"
"15106107267","51516","4","4","4","3","4","3","4","18","42"
