"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","051301","4","5","4","3","4","4","0","15","45.00"
"15106107227","051301","4","5","4","4","2","4","4","18","37.00"
"15106107228","051301","5","5","4","4","4","4","3","19","38.00"
"15106107229","051301","5","5","4","3","4","4","4","19","46.00"
"15106107230","051301","5","5","3","4","4","4","4","19","48.00"
"15106107231","051301","5","5","4","4","4","2","4","18","32.00"
"15106107233","051301","5","5","4","4","4","3","4","19","54.00"
"15106107234","051301","5","5","4","4","4","4","4","20","58.00"
"15106107235","051301","5","5","0","4","2","4","4","14","38.00"
"15106107236","051301","5","5","3","3","4","4","4","18","35.00"
"15106107237","051301","4","5","4","2","4","4","4","18","39.00"
"15106107238","051301","4","5","4","3","4","4","4","19","44.00"
"15106107239","051301","4","5","4","3","3","2","2","14","41.00"
"15106107240","051301","5","5","3","4","0","4","3","14","38.00"
"15106107241","051301","4","5","2","4","4","1","4","15","48.00"
"15106107242","051301","5","5","2","3","4","4","4","17","32.00"
"15106107244","051301","5","5","4","1","4","2","4","15","42.00"
"15106107245","051301","5","5","4","3","4","3","4","18","44.00"
"15106107246","051301","5","5","4","4","4","3","4","19","38.00"
"15106107247","051301","4","5","3","1","3","4","4","15","39.00"
"15106107248","051301","5","5","2","4","4","4","4","18","48.00"
"15106107249","051301","4","5","3","4","3","3","4","17","45.00"
"15106107250","051301","5","5","4","4","4","3","4","19","43.00"
"15106107253","051301","5","5","4","3","4","4","4","19","50.00"
"15106107254","051301","5","5","4","4","4","4","3","19","40.00"
"15106107255","051301","4","5","4","4","4","0","3","15","29.00"
"15106107256","051301","5","5","3","2","4","4","2","15","38.00"
"15106107257","051301","5","5","4","3","3","1","3","14","25.00"
"15106107259","051301","4","5","4","3","1","4","2","14","39.00"
"15106107260","051301","5","5","3","3","3","4","4","17","35.00"
"15106107262","051301","5","5","4","2","4","2","2","14","25.00"
"15106107263","051301","5","5","2","3","4","4","1","14","30.00"
"15106107264","051301","5","5","4","3","4","4","4","19","47.00"
"15106107265","051301","4","5","1","4","2","4","4","15","25.00"
"15106107266","051301","5","5","4","4","4","4","3","19","47.00"
"15106107267","051301","5","5","4","2","4","4","0","14","33.00"
