"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"16106107021","61502","3","4","3","1","4","1","2","11","49"
"17106107001","61502","4","4","3","3","4","3","4","17","62"
"17106107002","61502","4","4","4","2","4","4","0","14","46"
"17106107003","61502","4","4","0","4","4","4","4","16","51"
"17106107004","61502","4","4","4","4","3","4","2","17","43"
"17106107005","61502","4","4","2","4","4","3","4","17","51"
"17106107006","61502","4","4","3","4","1","3","3","14","54"
"17106107007","61502","4","4","3","4","4","2","1","14","60"
"17106107008","61502","4","4","4","4","1","2","4","15","53"
"17106107009","61502","4","4","3","3","3","0","4","13","52"
"17106107010","61502","4","4","1","4","4","3","3","15","35"
"17106107011","61502","4","4","4","2","4","4","4","18","61"
"17106107012","61502","3","4","3","3","1","2","2","11","48"
"17106107013","61502","4","3","1","1","4","4","3","13","53"
"17106107014","61502","3","4","2","2","2","4","3","13","52"
"17106107015","61502","4","3","2","3","4","3","1","13","35"
"17106107016","61502","4","4","4","3","1","2","3","13","34"
"17106107017","61502","4","4","1","3","2","3","4","13","63"
"17106107018","61502","4","4","4","3","4","2","1","14","56"
"17106107019","61502","4","3","4","0","1","4","4","13","29"
"17106107020","61502","4","4","4","4","3","3","2","16","51"
"17106107021","61502","3","4","3","3","2","0","4","12","44"
"17106107022","61502","4","4","4","4","4","3","2","17","55"
"17106107023","61502","4","4","3","2","3","4","4","16","46"
"17106107024","61502","4","4","4","2","3","2","2","13","45"
"17106107025","61502","4","4","3","4","3","4","2","16","54"
"17106107026","61502","4","3","2","1","4","2","4","13","47"
"17106107028","61502","4","4","4","4","2","2","2","14","56"
"17106107029","61502","3","4","4","4","3","1","1","13","43"
"17106107030","61502","3","4","1","4","0","4","3","12","47"
"17106107031","61502","4","4","3","4","0","4","4","15","31"
"17106107032","61502","4","4","2","3","4","3","2","14","45"
"17106107034","61502","4","4","4","3","2","4","4","17","46"
"17106107036","61502","3","4","2","2","4","3","2","13","56"
"17106107037","61502","4","4","3","4","4","3","1","15","46"
"17106107038","61502","3","4","0","4","4","0","4","12","54"
"17106107039","61502","4","4","3","4","4","1","4","16","38"
"17106107040","61502","4","4","4","0","4","4","3","15","54"
"17106107041","61502","4","3","1","0","4","1","3","9","28"
"17106107042","61502","4","4","2","4","4","3","1","14","43"
"18106107902","61502","4","4","4","4","4","2","3","17","55"
"18106107903","61502","4","4","3","4","3","3","4","17","51"
"18106107904","61502","4","4","4","3","4","4","2","17","50"
"18106107905","61502","4","4","3","4","2","3","4","16","54"
"18106107906","61502","4","3","4","0","3","2","4","13","43"
"18106107907","61502","4","4","3","4","2","2","4","15","53"
"18106107908","61502","3","4","2","2","4","1","3","12","41"
"18106107909","61502","4","3","4","4","1","2","2","13","32"
